[2025-09-05 21:59:22,381]INFO - Starting preprocessing...
[2025-09-05 21:59:24,179]INFO - Dataset loaded successfully.
[2025-09-05 21:59:24,223]INFO - cleaneding text...
[2025-09-05 21:59:26,217]INFO - text cleaned.
[2025-09-05 21:59:26,217]INFO - Vectorizing using TF-IDF...
[2025-09-05 22:01:06,458]INFO - Starting preprocessing...
[2025-09-05 22:01:07,811]INFO - Dataset loaded successfully.
[2025-09-05 22:01:07,853]INFO - cleaneding text...
[2025-09-05 22:01:09,927]INFO - text cleaned.
[2025-09-05 22:01:09,927]INFO - Vectorizing using TF-IDF...
[2025-09-05 22:01:10,305]INFO - Calculating cosine similarity...
[2025-09-05 22:01:11,642]INFO - Cosine similarity matrix generated.
[2025-09-05 22:01:16,131]INFO - Data saved to file
[2025-09-05 22:01:16,132]INFO - Preprocessing completed
